isim,Spotify_Isim,Spotify_ID,Takipci,EveryNoise_Tur,Spotify_Tur
Mustafa Sandal,Mustafa Sandal,0mkH5jj3goQ51JtPKVodTo,1138051,turkish pop,"turkish pop, t-pop"
Gökhan Özen,Gökhan Özen,3QLMLmISoZnFxUdzSoT6JB,553348,turkish pop,"turkish pop, t-pop"
Berksan,Berksan,72OZeQyKCAebfnRJAIEpnx,199127,turkish pop,turkish pop
Ece Seçkin,Ece Seçkin,1lfD2lvoDctsMr6grjYOb5,1069478,turkish pop,"turkish pop, t-pop"
Gülben Ergen,Gülben Ergen,6hypPYDPSsgioRRfBXve38,1095824,turkish pop,"turkish pop, arabesk, t-pop"
Aydın Kurtoğlu,Aydın Kurtoğlu,7ymCV8co6nSwmYFEyGmVvJ,421678,turkish pop,"turkish pop, t-pop"
Emrah Karaduman,Emrah Karaduman,7FvMAbdiffitFmbuJN3Vsk,500192,turkish deep house,"turkish pop, t-pop"
Güliz Ayla,Güliz Ayla,7yiJcbeab3PFoFhxtNDujs,439700,turkish pop,turkish pop
İzel,İzel,0QSrUuv6y5Woazd3LAjbSH,363570,turkish pop,"turkish pop, arabesk"
Kenan Doğulu,Kenan Doğulu,2RQ8NtUmg5y6tfbvCwX8jI,1321328,turkish pop,"turkish pop, t-pop"
Funda Arar,Funda Arar,6g7GF7BLC41JTHJwgB4wQW,1375220,turkish pop,"turkish pop, arabesk"
Rafet El Roman,Rafet El Roman,5gs9qloTR5m6dM0ScMty3H,871433,turkish pop,"turkish pop, arabesk"
Ersay Üner,Ersay Üner,6kf7koRM31Dgsj2WbByZpB,528116,turkish pop,turkish pop
Hande Ünsal,Hande Ünsal,6YapGsI8u59kfewJjjJ2LJ,652077,turkish pop,"turkish pop, t-pop"
Derya Uluğ,Derya Uluğ,7A6T0nTpXnPXDUGM1yEjEj,1579971,turkish pop,"turkish pop, t-pop"
İlyas Yalçıntaş,İlyas Yalçıntaş,2ekGsQEkeMtYFA16Jjes2M,1132071,turkish pop,turkish pop
Erdem Kınay,Erdem Kınay,4aCS0WLLZ3070ZDBOFJlHB,222641,turkish pop,"turkish pop, t-pop"
Emre Altuğ,Emre Altuğ,6CtMmrX12kYA3O4kINuWjZ,396144,turkish pop,turkish pop
Demet Akalın,Demet Akalın,1U449OOb70EZlElNjLMwCM,2248504,turkish pop,"turkish pop, t-pop"
Deniz Seki,Deniz Seki,28bHkFlKKHHudmgvnfYpiJ,651666,turkish pop,"turkish pop, arabesk"
Kutsi,Kutsi,0ZE0YoF456RFBU6rDFwm4o,206704,turkish pop,"turkish pop, arabesk"
