isim,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres
ali meydanioğlu,4fBIAPckfneje8qmOasnVf,Ali Meydanioğlu,4420.0,30.0,
ali nafile,6b2TSsiH3wvBOeObtoihLj,Ali Nafile,229.0,2.0,
ali nursani,7uVuCBxIAAgzZ3GdhDJxR8,Ali Nursani,16074.0,25.0,"arabesk, karadeniz folk"
ali osman akkuş,04LiabxtOHm2arzCacdlfg,Ali Osman Akkuş,162.0,0.0,arabesk
Ali Özel,4px4Xe0EUKpFnRNGkB9YKU,Ali Özel,15600.0,33.0,"oyun havasi, arabesk, karadeniz folk"
ali perret,5TOqsLI50Bk7AcS64iteVT,Ali Perret,472.0,1.0,"free jazz, acid jazz, jazz fusion"
Ali Pınar,1RC9kSoayB1Mi1PDLjH5CI,Ali Pınar,9.0,0.0,
Ali Poyrazoğlu,5tonMNqmHXx2duprIieCiy,Ali Poyrazoğlu,39.0,0.0,
ali rıfat çağatay,1GI1gMpn1ejhcuCtYwnyh2,Ali Rıfat Çağatay,26.0,0.0,
ali rıza albayrak,1TI4EQnso5rhH6xxANB6Lh,Ali Rıza Albayrak,13788.0,33.0,
ali rıza şahin,4DFihXQGMyQIpWAaF3aGrd,Ali Rıza Şahin,9.0,0.0,
Ali Şen,2isp7DhIXCT8SVrzXogFXs,Ali Şen,5.0,0.0,
ali şenozan,4sNTLHo8r0T4AYWvVFj97B,Ali Şenozan,68.0,0.0,
ali seval,0K5UxJNT8wn0bQKPzBK4rP,Ali Seval,97.0,1.0,
ali seven,38kFzcTZdYMWxqnkIR2eI0,Ali Seven,13598.0,15.0,"arabesk, tropical music"
ali sural,3sEoToyElMJ3p1ZwFOHUc0,Ali Sural,108.0,0.0,
ali tan,1Y1A0Z9A044sxF8oHi24oz,Ali Tan,452.0,2.0,
Ali Tekbaş,3wSkAP1KXTZufns68kbNQG,Ali Tekbaş,705.0,9.0,
ali tüfekçi,4cJnG7EVyV9lHUxqqhgqiF,Ali Tüfekçi,22.0,0.0,
Ali Wan Kenobi,4LondlIkD1PHg2OtyzKQ53,Ali Wan Kenobi,5.0,0.0,
Ali Yiğit,51mA28CsIoIqpqEHHBq9gN,Ali Yiğit,17.0,3.0,
alican & soner,3PCuIB6u6PLP1x8MedHJ75,Alican & Soner,89.0,0.0,progressive house
Alican Yücesoy,3FeFC2nYYgRFz6qW39fPHV,Alican Yücesoy,11.0,0.0,
Alice Sapritch,2vgKTOeOlee9pOcsCqYYLY,Alice Sapritch,96.0,0.0,
aliço,7HpsFTnwWnYjOHiJ4pgKj1,Aliço,33.0,0.0,turkish pop
Alihan Samedov,591XqDp2UoS4YEl8JU9mVy,Alihan Samedov,9038.0,32.0,
alimorbid,0Qd9aaARAE9fhpU7jbEBSd,alimorbid,74.0,16.0,
alin,0xWePffBtWS9KNuV6pGeYY,Alîn,2464.0,31.0,
Alireza Kohany,04fMk4DTODbVR9FvlpOv5M,Alireza Kohany,3454.0,1.0,
alişan göksu,6lmLurw9pYD9vHq6UlvwVr,Alişan Göksu,218.0,22.0,turkish pop
aliye mutlu,4d6HLW1woZHaPab3eJpiyA,Aliye Mutlu,16957.0,31.0,"turkish pop, karadeniz folk"
alizade,1EPZusBDP8yewhsaKtwktz,ALIZADE,636475.0,60.0,turkish hip hop
