isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Bülent Ersoy,"Istanbul, İstanbul, Turkey",,solo,İstanbul,4ZXSO4o28gKUfDbnrwtPmd,278922.0,51.0,"arabesk, turkish pop","arabesk, turkish pop","arabesk, sanat müziği","arabesk, turkish folk"
Büşra Pekin,,"İstanbul, Turkey",solo,İstanbul,5eEKBVHpzBT4Z6fCv5l8uZ,652.0,14.0,"oyun havasi, arabesk","oyun havasi, arabesk",,
Cahit Berkay,"Isparta, Isparta, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,0aUFnapWUvRIYJL6i3Jf60,12491.0,30.0,anatolian rock,"anatolian rock, karadeniz folk",,turkish psych
Cahit Oben,"İstanbul, Turkey",,solo,İstanbul,2O8jY0TevDFs7R9tzkh4SH,6297.0,5.0,anatolian rock,anatolian rock,pop,turkish psych
Can Bonomo,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,3vJJGsSAF5zQegZo5sJEh6,775810.0,54.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,"turkish pop, turkish rock"
Can Kazaz,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4YLcK0MEyqFkdyyzbPTWrs,393152.0,48.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
Caner Güneysu,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4EURgTTqaR97N9atn2HdS2,79.0,8.0,turkish pop,turkish pop,,
Cem Davran,"İstanbul, Turkey",,solo,İstanbul,7bF899xGLkRSTzWxSJHFCX,48.0,8.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Cem Karaca,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1lIbZfJvMQRqzhtCQsg5EI,2029955.0,55.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",rock,"turkish rock, turkish psych"
Cem Köksal,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5gPlGG8ELZDi5PSMObNQxY,39944.0,33.0,anatolian rock,anatolian rock,,"turkish rock, turkish metal"
Cem Yılmaz,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1FmmJb0ixEE31ETAQ60GXx,18973.0,30.0,turkish pop,turkish pop,,
Cengiz Onural,"İstanbul, İstanbul, Turkey",,solo,İstanbul,79K9SrI87dOAY82yf280H7,162.0,10.0,turkish pop,sufi,,
Cenk Durmazel,"İstanbul, İstanbul, Turkey",,solo,İstanbul,197PC8QqgDfLrbdLXv1uiY,3251.0,11.0,anatolian rock,anatolian rock,,
Cenk Taner,"Gölcük, Kocaeli, Turkey","Kadıköy, İstanbul, Turkey",solo,İstanbul,27BullunNq0imCJzxyh3oA,14803.0,10.0,anatolian rock,anatolian rock,,turkish singer-songwriter
Ceylan,"Fatih, İstanbul, Turkey",,solo,İstanbul,396gqBt8a2NN7gXtDWF7AJ,361636.0,49.0,"oyun havasi, arabesk, turkish pop","oyun havasi, arabesk, turkish pop",,"arabesk, turkish folk"
Ceylan Ertem,"Adapazarı, Sakarya, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,2crPPfVdmrxn5yUHLQVqOI,610645.0,44.0,"turkish pop, arabesk","turkish pop, arabesk","caz, alternatif, rock","turkish pop, turkish rock, turkish alt-pop, turkish singer-songwriter"
Ceynur,"İstanbul, İstanbul, Turkey",,solo,İstanbul,29B0zv6TP3mKluY6PyfJoP,1137.0,7.0,turkish pop,turkish pop,pop,deep turkish pop
Ceza,"Üsküdar, İstanbul, Turkey",,solo,İstanbul,28Qbi9jTj2eej21P2mImZI,5245766.0,60.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Cihan Mürtezaoğlu,"İstanbul, İstanbul, Turkey","Kadıköy, İstanbul, Turkey",solo,İstanbul,6qphxvmoZkBRhPV3Ohb6j2,211594.0,48.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
Cin Seddi,"Ankara, Turkey, Turkey","Ankara, Turkey, Turkey",grup,İstanbul,2liAz15F6gnnG58wtMz5Co,8738.0,34.0,anatolian rock,anatolian rock,,turkish metal
Contra,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3tJELJoPZ4VTKmL0vppqLj,1206309.0,51.0,turkish hip hop,"pagode, samba, axé",,"turkish trap, turkish hip hop"
Critical,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6dOAGo4z0syiCjbnlh4VSO,137121.0,49.0,"turkish hip hop, drill",,,turkish hip hop
Cümbüş Cemaat,"İstanbul, İstanbul, Turkey",,grup,İstanbul,0MLv04L8IGTPfhOjtdo6zq,3083.0,15.0,anatolian rock,anatolian rock,,
"DJ Funky ""C""","İstanbul, İstanbul, Turkey",,solo,İstanbul,1rOwICOHPAVzEOgtBufvPN,2356.0,20.0,turkish pop,breakbeat,,
Da Poet,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7Ml6UQvSODdViugwulEjWk,86625.0,50.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Darpo,,"İstanbul, İstanbul, Turkey",solo,İstanbul,7s9jM61uDC71eLxMog4sbP,1080.0,30.0,turkish hip hop,turkish hip hop,,
Dedublüman,"Trabzon, Trabzon, Turkey","İstanbul, İstanbul, Turkey",grup,İstanbul,5PRW6j58xEEWL4DDVEITKT,2357876.0,66.0,"arabesk, turkish pop","arabesk, turkish pop","alternatif, rock",
Demet Akalın,"Gölcük, Kocaeli, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1U449OOb70EZlElNjLMwCM,2217281.0,64.0,"turkish pop, t-pop","turkish pop, t-pop",pop,
Demet Evgar,"Manisa, Turkey","İstanbul, Turkey",solo,İstanbul,5PZbAEIJg4YfrzvOIfdzbD,9201.0,34.0,turkish pop,turkish pop,,
Demir Demirkan,"Adana, Adana, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,0ONcicRZwAgDDZyeWrLia3,230934.0,37.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Deniz Seki,"Istanbul, Turkey",,solo,İstanbul,28bHkFlKKHHudmgvnfYpiJ,648722.0,52.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Derya Uluğ,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,7A6T0nTpXnPXDUGM1yEjEj,1569655.0,57.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Devrim Erden,,"İstanbul, İstanbul, Turkey",solo,İstanbul,6bx0z5qY2HL613rLL7NHR0,2531.0,13.0,"arabesk, turkish pop","arabesk, turkish pop","halk, latin",deep turkish pop
Dinar Bandosu,"İstanbul, İstanbul, Turkey",,grup,İstanbul,6meuoaqQV5oqfQClbZ39wm,5530.0,2.0,anatolian rock,anatolian rock,"rock, psychedelic",turkish psych
Dipnot,,"İstanbul, İstanbul, Turkey",solo,İstanbul,7HnPyLJYfVV5GLbKxngUUd,6660.0,24.0,turkish hip hop,turkish hip hop,alternatif,turkish hip hop
Direc-t,"Adana, Adana, Turkey","İstanbul, İstanbul, Turkey",grup,İstanbul,0ubHokjZTIMHUJWPML8N0x,13631.0,30.0,anatolian rock,anatolian rock,"alternatif, rock","turkish rock, turkish metal"
Doğan Canku,"Tavşanlı, Kütahya, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,7lAMAZizRgc9vwXHQOULe4,33852.0,32.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,turkish jazz
Doğukan Manço,Belgium,"İstanbul, İstanbul, Turkey",solo,İstanbul,6IChT254jMRTpE42tHVq3E,31410.0,34.0,turkish pop,turkish pop,pop,deep turkish pop
Doğuş Çabakçor,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,2Y7fKAw6qx4hES4vuaPijc,20989.0,42.0,turkish pop,turkish pop,,
Duman,"İstanbul, İstanbul, Turkey",,grup,İstanbul,6RTC1abMgBC7Krg6qJQHJh,7584873.0,64.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Dönüşüm,"İstanbul, İstanbul, Turkey",,grup,İstanbul,1rvzM8oXbbeWDQBUuJzZLt,774.0,4.0,anatolian rock,anatolian rock,,
Dört X Dört,"İstanbul, İstanbul, Turkey",,grup,İstanbul,1hw1VLiutfMgbxficYxq65,67447.0,25.0,anatolian rock,anatolian rock,rock,turkish rock
Düş Sokağı Sakinleri,"İstanbul, Turkey",,grup,İstanbul,2QsEbhCFyEzogaOtMYeXO4,276432.0,34.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish pop, turkish rock"
Düşün,"İstanbul, İstanbul, Turkey",,grup,İstanbul,35iNfdKSaM0159XJoATa7L,106.0,2.0,turkish hip hop,,,turkish alt-pop
Ebru Gündeş,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5AboYJAlMb9FGadTTDKRoN,4317240.0,69.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish pop, arabesk, turkish folk"
Ece Anlı,,"İstanbul, İstanbul, Turkey",solo,İstanbul,7FaZhvf70Qmi1wTcSBMDPp,148.0,0.0,turkish pop,turkish pop,,deep turkish pop
Ece Mumay,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5FK1YzcREfjBuxM8i7UtBe,919257.0,45.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,turkish pop
Ece Seçkin,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1lfD2lvoDctsMr6grjYOb5,1065923.0,49.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Eda Baba,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0sG2HOcaA6eqnGTeLMJpRm,280431.0,38.0,turkish pop,turkish pop,,"turkish pop, turkish rock, turkish alt-pop"
Edis,"London, Greater London, United Kingdom","İstanbul, İstanbul, Turkey",solo,İstanbul,1AM52XHXnWAEqnQwpxTLWm,2245989.0,59.0,"turkish pop, t-pop",choral,rap,turkish pop
Eftalya Yağcı,"Malatya, Malatya, Turkey","Istanbul, Istanbul, Turkey",solo,İstanbul,27JkefjyyNpoRTWGDIt6Tc,23343.0,42.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop","indie, elektronik, rock",turkish pop
ElMusto,"Erzincan, Erzincan, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1Tjaa3WWIVU00kfZ8Dvpcl,1201728.0,56.0,turkish hip hop,turkish hip hop,"alternative, alternatif",turkish hip hop
Elanur,"Ordu, Ordu, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,33FCgXF01vOfBtjoul6ne1,139132.0,27.0,turkish hip hop,turkish hip hop,,turkish hip hop
Elektro Hafız,"İstanbul, İstanbul, Turkey","Köln, Nordrhein-Westfalen, Germany",solo,İstanbul,4Q9yGZQsMETYOq7TJnFlkA,16588.0,27.0,anatolian rock,anatolian rock,,
Elif Doğan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2U1KJtw2jxZM1glDvDgGcl,2031.0,37.0,turkish pop,"karadeniz folk, arabesk, turkish pop, oyun havasi",,
Emboli,"İstanbul, İstanbul, Turkey",,solo,İstanbul,256klKl5Pzn2qdHMXS4uBF,9915.0,23.0,turkish hip hop,turkish hip hop,,turkish hip hop
Emir,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4XP7cGw4t8BqZ8Du5q3bHg,3233736.0,63.0,turkish pop,turkish pop,,turkish pop
Emir Ersoy,"İstanbul, İstanbul, Turkey",,solo,İstanbul,59uWH4ed0TG4WVOYKetMJC,8134.0,32.0,turkish pop,turkish pop,,
Emre Altuğ,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6CtMmrX12kYA3O4kINuWjZ,393766.0,48.0,turkish pop,turkish pop,,
Emre Baransel,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1fH1BT5iWXZnX4YEAzfO9K,7871.0,2.0,turkish hip hop,,rap,turkish hip hop
Ender Balkır,"Tunceli, Tunceli, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,07kEnIFmiV0WbPG6FqqrU0,110503.0,46.0,arabesk,arabesk,,turkish folk
Ercan Saatçi,"İstanbul, Turkey",,solo,İstanbul,5tPQaMOyXCbkZ5DqQAhox5,26216.0,37.0,turkish pop,turkish pop,,
Erdal Güney,"Anamur, Mersin, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,77PSs92ix6empuwnNuiwot,49287.0,45.0,arabesk,arabesk,,turkish folk
Erdem Kınay,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4aCS0WLLZ3070ZDBOFJlHB,220863.0,54.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Erdem Yener,"İskenderun, Turkey","İstanbul, Turkey",solo,İstanbul,1JXIV2lL6Yd30xG7kOfI1n,21697.0,13.0,anatolian rock,anatolian rock,,turkish rock
Erhan Güleryüz,"İstanbul, Turkey",,solo,İstanbul,02vz4pSTcSNzNXlQeEHIs7,16816.0,26.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",,
Erkin Koray,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4o3Nv2BAyoZkyGaRXv4rT3,817791.0,51.0,"anatolian rock, arabesk","anatolian rock, arabesk","özgün, rock",
Erkut Taçkın,"İstanbul, Turkey",,solo,İstanbul,4GJuQAAePQH9qyr9Bj0Xv3,20921.0,26.0,anatolian rock,anatolian rock,rock,turkish psych
Erol Evgin,"İstanbul, Turkey",,solo,İstanbul,6zzBsqAEDo53s2dSeZzWvo,304300.0,53.0,"turkish pop, anatolian rock, arabesk","turkish pop, anatolian rock, arabesk",pop,turkish pop
Erol Köker,"Arguvan, Malatya, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,37aZucOaDmxTcgp5XeeDbr,4639.0,31.0,"oyun havasi, arabesk, karadeniz folk","oyun havasi, arabesk, karadeniz folk",,turkish folk
Erol Pekcan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2ZS2TyW0RzT9qKBIBDUjxX,273.0,0.0,anatolian rock,,caz,
Ersay Üner,"Seydişehir, Konya, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,6kf7koRM31Dgsj2WbByZpB,524572.0,51.0,turkish pop,turkish pop,pop,turkish pop
Esengül,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5VnmwZE6S2STk83HEinfAG,21607.0,27.0,"arabesk, traditional folk","arabesk, traditional folk",,arabesk
Eskiz,"İstanbul, İstanbul, Turkey",,grup,İstanbul,6DIDKAlVCwKpp00Or6NRKf,4801.0,6.0,anatolian rock,anatolian rock,,turkish metal
Esmeray,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5LbgJGRCmR9pgCxVkBDZw6,162480.0,44.0,"arabesk, anatolian rock","arabesk, anatolian rock",pop,turkish psych
Evrencan Gündüz,"Kadıköy, İstanbul, Turkey",,solo,İstanbul,6rxgxAlUPT4sDElRZeVec6,89115.0,39.0,turkish pop,turkish pop,rock,"turkish rock, turkish jazz"
Eylem Aktaş,"Batman, Batman, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1FXTuxobdo03RcAcuEFmPY,83776.0,48.0,"arabesk, karadeniz folk, turkish pop","arabesk, karadeniz folk, turkish pop","özgün, soundtrack",
Eylül Deniz,,"İstanbul, İstanbul, Turkey",solo,İstanbul,48uahMm1bxDGM2LH0ngVXh,124.0,5.0,turkish hip hop,turkish hip hop,,
Eytan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3rtgZpxBTGp6NWtLMDvvEO,3946.0,26.0,"turkish hip hop, turkish pop",psytrance,,
Ezgi Alaş,"Aydın, Aydın, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,3MPYl70VF5QlFVTOTRC9PZ,2232.0,17.0,turkish hip hop,lullaby,,
Ezginin Günlüğü,"İstanbul, İstanbul, Turkey",,grup,İstanbul,6WDnC2nx6hEPdtcU2LLGtE,344769.0,47.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,"turkish folk, turkish jazz"
Farah Zeynep Abdullah,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3xoFgT5OYcfaU8XlfmbylK,47158.0,34.0,turkish pop,turkish pop,,turkish pop
Farazi,"İstanbul, İstanbul, Turkey",,solo,İstanbul,44wLgA9gxORLwDGRvYpRBg,188454.0,52.0,turkish hip hop,turkish hip hop,,turkish hip hop
Farazi v Kayra,"İstanbul, İstanbul, Turkey",,grup,İstanbul,5ayy4bftuQvE2xTCbCEufB,69577.0,22.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Faruk K,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6rixu3hOO3YKVGBABu2vpo,6829.0,23.0,turkish pop,turkish pop,dans,deep turkish pop
Faruk Sabanci,,"İstanbul, İstanbul, Turkey",solo,İstanbul,7nPbrzSt1apQM9rY5DVqQZ,23099.0,46.0,"turkish hip hop, slap house, trance, turkish pop","turkish hip hop, slap house, trance",,
Fatih Erdemci,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1OhpnvMZLbqa46ZCNdMmwr,4443.0,27.0,turkish pop,turkish pop,,turkish rock
Fatma Girik,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2X8ABoCvF9S4OrO0ahej5n,272.0,0.0,arabesk,arabesk,,
Ferhat Göçer,"Şanlıurfa, Şanlıurfa, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,13jj3uGldU7cSQLaFkf2Zm,936465.0,53.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Feride Hilal Akın,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2dLBhX7dIdWL6Fsk9l0n1n,998745.0,50.0,turkish pop,turkish pop,"r&b, pop",turkish pop
Fery,"Sinop, Sinop, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,7JRQHc9292mpQ7ONOJaTft,6568.0,28.0,"arabesk, karadeniz folk",speedcore,,turkish hip hop
Feylesoflar,"İstanbul, İstanbul, Turkey",,grup,İstanbul,59iOvUBMXCAYIktg4iOyQ9,1631.0,5.0,anatolian rock,anatolian rock,,
Fikret Kızılok,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6RXvZtTyld421VPmJtLqkL,427485.0,45.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",rock,
Flowart,,"İstanbul, İstanbul, Turkey",solo,İstanbul,5Ru7XTlo1E5p2NPPBwVTkh,232.0,0.0,turkish hip hop,turkish hip hop,,turkish trap
Flört,"Pendik, İstanbul, Turkey",,grup,İstanbul,0ou1EkRCAJcfRv2P1qKVPo,147107.0,39.0,anatolian rock,anatolian rock,,"turkish rock, turkish psych"
Fuat,"Berlin, Berlin, Germany","İstanbul, İstanbul, Turkey",solo,İstanbul,6tRmpYzDIjWoRHzbJO7Cpx,175454.0,39.0,turkish hip hop,"karadeniz folk, oyun havasi, anatolian rock",,turkish hip hop
Fuat Güner,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2ptNVh8jugzZ5cQjfhqHg0,1676.0,12.0,"anatolian rock, mizrahi, turkish pop","anatolian rock, turkish pop, mizrahi","pop, rock",
Fulden Uras,"İstanbul, Turkey",,solo,İstanbul,3is8xBSnJvwJDfrJ6rN6fj,10468.0,20.0,turkish pop,turkish pop,,deep turkish pop
Funda Arar,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,6g7GF7BLC41JTHJwgB4wQW,1354450.0,59.0,"turkish pop, arabesk","turkish pop, arabesk",pop,turkish pop
Füsün Önal,"Kadıköy, İstanbul, Turkey",,solo,İstanbul,2eyRlGrwDq4JBGGdZ9vjDn,75062.0,41.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",klasik,turkish psych
Fırat Tanış,"İstanbul, Turkey",,solo,İstanbul,1AMxbM8JPoryu2bTtRDHZJ,23304.0,46.0,turkish pop,turkish pop,ska,
Gaye Su Akyol,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0VsS7WKuNEsKGNIWuiwSyZ,198150.0,44.0,anatolian rock,anatolian rock,,"turkish rock, turkish jazz"
Gece Yolcuları,"İstanbul, İstanbul, Turkey",,grup,İstanbul,21ppfKgGToa81HQE0kET5P,821185.0,47.0,"turkish pop, anatolian rock","turkish pop, anatolian rock","pop, rock","turkish pop, turkish rock"
Gramafonia,,"İstanbul, İstanbul, Turkey",solo,İstanbul,6WrU7t9YGIJmKmCBi7tgMw,356.0,2.0,turkish hip hop,turkish hip hop,,
Grejuva,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0Ld8wmLqdAP0IPRXOK0XlD,6747.0,20.0,turkish hip hop,turkish hip hop,,turkish hip hop
Gripin,"İstanbul, İstanbul, Turkey",,grup,İstanbul,3Z814BstLaKbLqKHXsht8O,1655942.0,60.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,"turkish pop, turkish rock"
Grizu,"İstanbul, Turkey",,grup,İstanbul,2ZdsrdDvi0wtkrCswBDINB,30876.0,23.0,anatolian rock,anatolian rock,,"turkish rock, turkish metal"
Groza,,"İstanbul, İstanbul, Turkey",solo,İstanbul,4vexLDbfehpgMFreLkeatb,1355.0,13.0,turkish hip hop,black metal,,turkish metal
Grup Ses,,"İstanbul, İstanbul, Turkey",solo,İstanbul,4nm6o6rwq2nFht5aXrxSoM,8210.0,16.0,"turkish hip hop, anatolian rock, arabic hip hop",villancicos,,
Grup Yorum,"Istanbul, Turkey",,solo,İstanbul,4FjxqqOXKI1eGLrYn3GUq4,484943.0,32.0,"karadeniz folk, anatolian rock, arabesk","karadeniz folk, anatolian rock, arabesk","özgün, rock",turkish folk
Gökben,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5lGa3BMsmlltlhUu9t8cXx,32035.0,28.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,
Gökcan Sanlıman,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4mfWD6lKPM4mfVGcdb8Td4,4670.0,23.0,turkish pop,turkish pop,,
Gökhan Abur,"Afyonkarahisar, Afyonkarahisar, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,35wJhFAxxLUV57Y1TqSYmm,4924.0,13.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Gökhan Semiz,"Istanbul, Turkey",,solo,İstanbul,4uT8SgUJQp7cGjhvWskdqk,830.0,3.0,anatolian rock,anatolian rock,pop,
Gökhan Tepe,"Istanbul, Turkey",,solo,İstanbul,6C2dcLMiM7ReleaXaiHsw5,289728.0,49.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Gökhan Türkmen,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4uGB0nZ5d1iCXS3sHR3pzm,1552140.0,64.0,turkish pop,turkish pop,,turkish pop
Göksel,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4i4ALRtQQmFxn3BCIB6iC0,1826892.0,61.0,turkish pop,turkish pop,,turkish pop
Gökçe,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6EkoCL5oWSht8mekRNBWAn,213128.0,46.0,"turkish pop, t-pop","turkish pop, t-pop",,"turkish pop, turkish rock"
Gökçe Bahadır,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4sVqsqOYtQHfx8n72nC5qt,6988.0,30.0,turkish pop,turkish pop,,
Gökçen Kaynatan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3nnodwbgLf8YyqSk7bgkgF,4933.0,6.0,anatolian rock,anatolian rock,enstrümantal,turkish psych
Gönül Akkor,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5UNzYWTYkESx4sHCbVJRvG,64126.0,31.0,"arabesk, anatolian rock, turkish pop","arabesk, anatolian rock, turkish pop",,
Gönül Turgut,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3E2lHRV6WfUemnxBu8C8Rw,15273.0,27.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","özgün, pop",
Görkem Karabudak,"Ordu, Ordu, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1oAAtiC1OuS6dxE1DIkUUp,4140.0,21.0,anatolian rock,,rock,
Gözyaşı Çetesi,"İstanbul, İstanbul, Turkey",,grup,İstanbul,1edFNmL29qNUXSAH7kGUrX,5147.0,5.0,anatolian rock,anatolian rock,,
Gülay,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7gZAYKgUSYI7tTxx4ak4d0,104129.0,22.0,"karadeniz folk, arabesk","arabesk, turkish pop",,turkish folk
Gülben Ergen,"Istanbul, Turkey",,solo,İstanbul,6hypPYDPSsgioRRfBXve38,1081161.0,56.0,"turkish pop, arabesk, t-pop","turkish pop, arabesk, t-pop",,"turkish pop, arabesk"
Güler Duman,"İstanbul, Turkey",,solo,İstanbul,56TBrBN0rtJxZfvKcGtfDS,215711.0,48.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",halk,"arabesk, turkish folk"
Güllü,"İstanbul, İstanbul, Turkey",,solo,İstanbul,533wb2q2kU814aFEWaIlG2,950422.0,58.0,arabesk,arabesk,,arabesk
Gülseren,"İstanbul, Turkey","Paris, Île-de-France, France",solo,İstanbul,3iHVogmLbAWIimkFEuUT6t,967.0,9.0,"karadeniz folk, arabesk",lullaby,,
Gülçin Ergül,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5nxcBdJcaohXiCIMuQd200,31672.0,42.0,"turkish pop, t-pop","turkish pop, t-pop",dans,deep turkish pop
Gülşen,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1F2v33FQTavJyaD7ZsyhdA,2430453.0,66.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
Güneş,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0L3wrFI3QcbXAvFL7IaPQX,660058.0,60.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,
Gür Akad,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1pPnv8tumdLAipFWWi8a5D,3086.0,15.0,anatolian rock,anatolian rock,rock,turkish metal
Hakan Altun,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2AhmWHekrahJri4f5e08Tf,974515.0,52.0,"arabesk, turkish pop","arabesk, turkish pop",rap,"turkish pop, arabesk"
Hakan Kurşun,,"İstanbul, İstanbul, Turkey",solo,İstanbul,3gZSwjQFq9wXEdnkB32MsM,3802.0,6.0,"electroacoustic, anatolian rock","electroacoustic, anatolian rock",alternatif,
Hakan Peker,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7x1sEYcPJvLBwweGlIcapC,210733.0,50.0,turkish pop,turkish pop,dans,turkish pop
Hakan Yılmaz,"İstanbul, Turkey",,solo,İstanbul,3VSzhZ48dncGTgvsO3rPep,6216.0,29.0,"karadeniz folk, anatolian rock","karadeniz folk, anatolian rock",,
Haktan,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1qEiLZ4ZD4TtjxyqKUHRCs,40892.0,37.0,arabesk,arabesk,,
Halil Sezai,"Eskişehir, Eskişehir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,0Aoou2kIWXrzTOfhFzmNqa,544214.0,52.0,"arabesk, turkish pop","arabesk, turkish pop",,turkish pop
Hamiyet Yüceses,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5YoSeig3CDFGxAxGnLao8C,29162.0,16.0,arabesk,arabesk,sanat müziği,
Hande Mehan,,"İstanbul, İstanbul, Turkey",solo,İstanbul,1u3WUGLV2ZGPvwkfdvgZFl,139778.0,50.0,turkish pop,turkish pop,,turkish singer-songwriter
Hande Yener,"İstanbul, İstanbul, Turkey",,solo,İstanbul,08mjMUUjyTchMHCW7evc3R,2175280.0,66.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
