isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Yonca Lodi,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1aP2MaewItELfTZkp9t8mF,318654.0,37.0,turkish pop,turkish pop,pop,turkish pop
Yüksek Sadakat,"Istanbul, Turkey",,grup,İstanbul,3SrFQDUN5DXQDZc3kygriW,1435409.0,55.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",rock,"turkish pop, turkish rock"
Yüzyüzeyken Konuşuruz,"İstanbul, İstanbul, Turkey",,grup,İstanbul,7gobcoscOfsY0nOeqqFzvU,2962761.0,61.0,turkish pop,turkish pop,"indie, folk",turkish rock
Yıldız Tezcan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2sG78Ugs7YYDUVwNyTGj4r,217.0,2.0,arabesk,arabesk,,
Yıldız Tilbe,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,4525TiJDbBD4mZJ7EZArT0,3969300.0,65.0,"arabesk, turkish pop","arabesk, turkish pop",,
Yılmaz Morgül,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2ooGZ0Y7LLS6G2LJoqFGlc,2753.0,16.0,arabesk,arabesk,,
Zardanadam,"İstanbul, Turkey",,grup,İstanbul,1ciA4B8BAF5lYKZBFxBoWk,4224.0,15.0,anatolian rock,anatolian rock,"alternatif, rock",
Zeki Güner,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1XdeuU2BL8e7R5FDAY6XB0,653.0,8.0,turkish pop,turkish pop,,
Zen-G,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4HSiNCPhdU2snKaVJytlUM,199345.0,41.0,turkish hip hop,"lullaby, children's music",rap,"turkish trap, turkish hip hop"
Zeus Kabadayı,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2gI1RWBJVIYrYO7QFRBsrm,93988.0,24.0,turkish hip hop,turkish hip hop,,turkish hip hop
Zeynep Bastık,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1mpOD8ZwHnbsryIuXWq0R1,2493553.0,61.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,turkish pop
Zeynep Dizdar,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1XZNZT3xecy9Wt5LtMOJVk,313404.0,50.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Zuhal Olcay,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6XTIDpYqIA3fUeQM8zA4Ix,186154.0,37.0,turkish pop,turkish pop,,"turkish pop, turkish jazz"
Zuğaşi Berepe,"İstanbul, İstanbul, Turkey",,grup,İstanbul,26Vx16h8yEfSVAGxTYrLAC,2470.0,7.0,"karadeniz folk, anatolian rock","karadeniz folk, anatolian rock",rock,
Zümrüt,"İstanbul, İstanbul, Turkey",,solo,İstanbul,163nvG68QHKiVkJJ9qav6T,500.0,17.0,anatolian rock,turkish pop,ska,
cakal,"Bursa, Bursa, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,6CPZWzcKiOKkHn4L2XI4i2,3123449.0,63.0,"turkish hip hop, drill","turkish hip hop, drill",rap,
maNga,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",grup,İstanbul,7rEIUw67hRTgievwuKQGSj,2748226.0,56.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
manifest,"İstanbul, İstanbul, Turkey",,grup,İstanbul,2WjzL05RyqIk5n53sZc9nf,929273.0,69.0,"turkish pop, t-pop","turkish pop, t-pop",,
sulga,,"İstanbul, İstanbul, Turkey",solo,İstanbul,7K0GBIDPHPMedkpIFl6tOr,13347.0,44.0,turkish hip hop,turkish hip hop,,
Çağan Şengül,,"İstanbul, İstanbul, Turkey",solo,İstanbul,3W0gwNZqdtkleuMYlKElaw,412155.0,53.0,turkish pop,turkish pop,,
Çağatay Ulusoy,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4bzEbwcMO2mGvLJT3Pm8hP,77740.0,29.0,turkish pop,turkish pop,,turkish pop
Çağlayan Topaloğlu,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2g9CKCkrR65Dji8JbyQ6Mi,2207.0,17.0,turkish pop,turkish pop,,deep turkish pop
