isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Ahmet Melih Yılmaz,"Ankara, Ankara, Turkey",,solo,Ankara
Undoer,"Ankara, Ankara, Turkey",,grup,Ankara
Doğu Demirkol,"Ankara, Ankara, Turkey",,solo,Ankara
Nergis Kumbasar,"Ankara, Ankara, Turkey",,solo,Ankara
Bade,"Ankara, Ankara, Turkey",,solo,Ankara
Bade,"Ankara, Ankara, Turkey",,solo,Ankara
Hacer Buluş,"Ankara, Ankara, Turkey",,solo,Ankara
Akın Sevgör,"Ankara, Ankara, Turkey",,solo,Ankara
Phronesis,"Ankara, Ankara, Turkey",,grup,Ankara
Ayhan Baran,"Ankara, Ankara, Turkey",,solo,Ankara
Bahadır Efe,"Ankara, Ankara, Turkey",,solo,Ankara
Ankara Yaylı Çalgılar Dörtlüsü,"Ankara, Ankara, Turkey",,grup,Ankara
Aykut Sözeri,"Ankara, Ankara, Turkey",,solo,Ankara
Hasan Karcı,"Ankara, Ankara, Turkey",,solo,Ankara
Deniz Aksaya,"Ankara, Ankara, Turkey",,solo,Ankara
Dersu Yavuz Altun,"Ankara, Ankara, Turkey",,solo,Ankara
Mert Tanık,"Ankara, Ankara, Turkey",,solo,Ankara
Malazlar,"Ankara, Ankara, Turkey",,solo,Ankara
Tahrip,"Ankara, Ankara, Turkey",,grup,Ankara
Dengesiz Herifler,"Ankara, Ankara, Turkey",,grup,Ankara
My Pen Is Big,"Ankara, Ankara, Turkey",,grup,Ankara
Zibidiler,"Ankara, Ankara, Turkey",,grup,Ankara
DAK,"Ankara, Ankara, Turkey",,grup,Ankara
Silence and Agony,"Ankara, Ankara, Turkey",,grup,Ankara
Ohol Yeg,,,solo,Ankara
Subjugation,"Ankara, Ankara, Turkey",,grup,Ankara
Exposed,"Ankara, Ankara, Turkey",,grup,Ankara
Slamdive,"Ankara, Ankara, Turkey",,solo,Ankara
Umur Bugay,"Ankara, Ankara, Turkey",,solo,Ankara
Mehmet Yamak,"Ankara, Ankara, Turkey",,solo,Ankara
Kanlı Taka,"Ankara, Ankara, Turkey",,grup,Ankara
Mode XL,"Ankara, Ankara, Turkey",,grup,Ankara
Evren Besta,,,solo,Ankara
VEYasin,,,solo,Ankara
Alperen Duymaz,"Ankara, Ankara, Turkey",,solo,Ankara
Alp Aslan,"Ankara, Ankara, Turkey",,solo,Ankara
Erdinç Gülener,"Ankara, Ankara, Turkey",,solo,Ankara
Mustafa Kaya,"Ankara, Ankara, Turkey",,solo,Ankara
Emre Kartari,"Ankara, Ankara, Turkey","Richmond, VA, United States",solo,Ankara
Molested Divinity,"Ankara, Ankara, Turkey",,grup,Ankara
Emre Üren,,,solo,Ankara
Batu Çetin,,,solo,Ankara
Berk Köktürk,,,solo,Ankara
Cihan Akün,,,solo,Ankara
Erkin Öztürk,,,solo,Ankara
Cédric Malebolgia,,,solo,Ankara
Yeşim,"Ankara, Ankara, Turkey","Marmaris, Muğla, Turkey",solo,Ankara
Ehrimen,"Ankara, Ankara, Turkey",,grup,Ankara
Kirli Çoraplar,"Ankara, Ankara, Turkey",,solo,Ankara
Sokak Köpekleri,"Ankara, Ankara, Turkey",,grup,Ankara
Levent Kol,"Ankara, Ankara, Turkey",,solo,Ankara
Ahmet Güvenç,"Ankara, Ankara, Turkey",,solo,Ankara
Bunalım,,,solo,Ankara
Egoist,,,solo,Ankara
Cem Karaca & Edirdahan,,,solo,Ankara
Kurtalan Ekspres,,,solo,Ankara
Hüseyin Elmalıpınar,"Ankara, Ankara, Turkey",,solo,Ankara
