isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify,Wikipedia,Every Noise at Once
Doğan Canku,"Tavşanlı, Kütahya, Turkey","İstanbul, İstanbul, Turkey",solo,Afyonkarahisar,7lAMAZizRgc9vwXHQOULe4,33852.0,32.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,turkish jazz
Doğan Canku,"Tavşanlı, Kütahya, Turkey","İstanbul, İstanbul, Turkey",solo,Afyonkarahisar,7lAMAZizRgc9vwXHQOULe4,33852.0,32.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,turkish jazz
Emre Aydın,"Isparta, Turkey",,solo,Afyonkarahisar,66vIaZFb8okZH0npc4eQ5q,1167777.0,58.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,
Ethnique Punch,"Eskişehir, Eskişehir, Turkey","Berlin, Berlin, Germany",solo,Afyonkarahisar,4eSAzGCtD0jcxNuNK4OkDn,25488.0,19.0,turkish hip hop,turkish hip hop,,turkish hip hop
Gökhan Abur,"Afyonkarahisar, Afyonkarahisar, Turkey","İstanbul, İstanbul, Turkey",solo,Afyonkarahisar,35wJhFAxxLUV57Y1TqSYmm,4924.0,13.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Halil Sezai,"Eskişehir, Eskişehir, Turkey","İstanbul, İstanbul, Turkey",solo,Afyonkarahisar,0Aoou2kIWXrzTOfhFzmNqa,544214.0,52.0,"arabesk, turkish pop","arabesk, turkish pop",,turkish pop
Halil Sezai,"Eskişehir, Eskişehir, Turkey","İstanbul, İstanbul, Turkey",solo,Afyonkarahisar,0Aoou2kIWXrzTOfhFzmNqa,544214.0,52.0,"arabesk, turkish pop","arabesk, turkish pop",,turkish pop
Joker,"Eskişehir, Eskişehir, Turkey",,solo,Afyonkarahisar,2Fu5huGG8iXC85P9akyYrr,207864.0,45.0,turkish hip hop,"mandopop, c-pop, taiwanese pop",,"turkish trap, turkish hip hop"
Kerem Yılmazer,"Denizli, Turkey",,solo,Afyonkarahisar,5lN3QjtFAhtgKAlMG6p6VX,1266.0,2.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish psych
Kubilay Karça,"Eskişehir, Eskişehir, Turkey",,solo,Afyonkarahisar,2pbct1ni3yLLAfzrSXQDrH,618878.0,54.0,"turkish hip hop, arabesk, turkish pop","turkish hip hop, arabesk, turkish pop",,
Lalalar,,,solo,Afyonkarahisar,6CWQ7KWveleaeFagKCz26T,62425.0,31.0,anatolian rock,anatolian rock,,turkish psych
Melihat Gülses,"Akşehir, Konya, Turkey","İstanbul, İstanbul, Turkey",solo,Afyonkarahisar,19eA842Jf7AcYf6myCZ7wh,60084.0,33.0,arabesk,arabesk,,
Modern Folk Üçlüsü,,,solo,Afyonkarahisar,5HL2vpJK88hFoujHGpklWg,8576.0,23.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","pop, folk",turkish psych
Modern Folk Üçlüsü,,,solo,Afyonkarahisar,5HL2vpJK88hFoujHGpklWg,8576.0,23.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","pop, folk",turkish psych
Moğollar,,,solo,Afyonkarahisar,5dMPhj9s9v91MpdGNpInLy,231952.0,36.0,"anatolian rock, oyun havasi","anatolian rock, oyun havasi",halk,turkish rock
Nalan,"Eskişehir, Eskişehir, Turkey",,solo,Afyonkarahisar,2ro4mTRj9qAtITiacU8bJg,163426.0,45.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
No.1,"Denizli, Denizli, Turkey","İstanbul, İstanbul, Turkey",solo,Afyonkarahisar,4fR3W8XFXsqHB8f8IqEr1y,3694104.0,64.0,turkish hip hop,,r&b,turkish hip hop
No.1,,,solo,Afyonkarahisar,4fR3W8XFXsqHB8f8IqEr1y,3694104.0,64.0,turkish hip hop,,r&b,turkish hip hop
No.1,,,solo,Afyonkarahisar,4fR3W8XFXsqHB8f8IqEr1y,3694104.0,64.0,turkish hip hop,,r&b,turkish hip hop
Piiz,"Eskişehir, Eskişehir, Turkey",,grup,Afyonkarahisar,3K2LeXoWGM9YnbtrRj4WS3,50185.0,26.0,anatolian rock,anatolian rock,,turkish rock
