isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Cezmi Başeğmez,"Ankara, Ankara, Turkey",,solo,Ankara
Chef Bi,"Ankara, Ankara, Turkey",,solo,Ankara
Cidesphere,"Ankara, Ankara, Turkey",,grup,Ankara
Cihan Palabıyık,"Ankara, Ankara, Turkey",,solo,Ankara
Cihan Yurtçu,"Ankara, Ankara, Turkey",,solo,Ankara
Cinuty,,"Ankara, Ankara, Turkey",solo,Ankara
Corroded,"Ankara, Ankara, Turkey",,grup,Ankara
Cosmic Funeral,"Ankara, Ankara, Turkey",,grup,Ankara
Coşkun Gülâ,"Ankara, Ankara, Turkey",,solo,Ankara
Cragataska,"Ankara, Ankara, Turkey",,grup,Ankara
Crestfall,"Ankara, Ankara, Turkey",,grup,Ankara
Crisis,"Ankara, Ankara, Turkey",,grup,Ankara
Crossfire,"Ankara, Turkey",,grup,Ankara
Cursed in Eternity,"Ankara, Ankara, Turkey",,grup,Ankara
Cyanopica,,"Ankara, Ankara, Turkey",solo,Ankara
Cüneyt Karakuş,"Ankara, Ankara, Turkey",,solo,Ankara
DAK,"Ankara, Ankara, Turkey",,grup,Ankara
DJ Suppa,"Diyarbakır, Diyarbakır, Turkey","Ankara, Ankara, Turkey",solo,Ankara
DMLLL,"Kütahya, Kütahya, Turkey","Ankara, Ankara, Turkey",solo,Ankara
Darkphase,"Ankara, Turkey",,grup,Ankara
Daydreamers & Nonsmokers,"Ankara, Ankara, Turkey",,grup,Ankara
Decimation,"Ankara, Ankara, Turkey",,grup,Ankara
Deep Inside,"Ankara, Ankara, Turkey",,grup,Ankara
Defne Deliormanlı,"Ankara, Ankara, Turkey",,solo,Ankara
Defne Kayalar,"Ankara, Ankara, Turkey",,solo,Ankara
Dehr-i Yalan,,"Ankara, Ankara, Turkey",grup,Ankara
Deja-Vu,"Ankara, Turkey",,grup,Ankara
Deli Gömleği,"Ankara, Ankara, Turkey",,grup,Ankara
Dementia,"Ankara, Ankara, Turkey",,grup,Ankara
Dengesiz Herifler,"Ankara, Ankara, Turkey",,grup,Ankara
Deniz Aksaya,"Ankara, Ankara, Turkey",,solo,Ankara
