isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir
Ceg,Ceg,2QDHxmDObOuv9MCeBYiFtq,723561.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,Eskişehir
Kıraç,Kıraç,4XYD8wP6f1sfLtWfrY1luF,696202.0,Turkish Rock,anadolu rock,"anatolian rock, turkish pop, arabesk",solo,erkek,Göksun
Emre Fel,Emre Fel,1kRAeenoDZ5jBdzboZQuKa,692497.0,Turkish Rock,turkish singer-songwriter,"anatolian rock, turkish pop",solo,,Amasya
İbrahim Erkal,İbrahim Erkal,0Fd2y4arCJPyGqNkZDq2vZ,692241.0,Turkish Sanat & Klasik,arabesk,arabesk,,,
Yusuf Güney,Yusuf Güney,7ictQXHIBmXODb4ykTI95n,691972.0,Turkish Pop,turkish pop,"turkish pop, karadeniz folk",solo,erkek,London
Nigar Muharrem,Nigar Muharrem,6qg3g0aneq4tOJgpzIuEmT,689532.0,Turkish Pop,turkish pop,"turkish pop, arabesk",,,
Fatma Turgut,Fatma Turgut,1dsKaRPU3HFSdlNyMmH5QI,688367.0,Turkish Pop,turkce slow sarkilar,turkish pop,solo,,Aydın
Volkan Konak,Volkan Konak,48CUA59SDed3IdCctKndud,688126.0,Turkish Pop,karadeniz pop,"karadeniz folk, arabesk, turkish pop",solo,erkek,Maçka
Kool Savas,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,680392.0,,german hip hop,german hip hop,,,
Cash Flow,Cash Flow,7J7IAR4rkzo4FcZTDid3Jk,678253.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,
Jeff Redd,Jeff Redd,6xqA7u7TxHUYJp6Ww1XgNx,669102.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,grup,grup,İstanbul
Mehmet Erdem,Mehmet Erdem,0ylYRIvKTpv9uvTfKbYjM0,666651.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,erkek,Manisa
Güneş,Güneş,0L3wrFI3QcbXAvFL7IaPQX,664405.0,Turkish Hip Hop & Trap,turkce kadin rap,"turkish hip hop, turkish pop",solo,kadın,Pendik
Kamuran Akkor,Kamuran Akkor,1hWI1MD4Pe3cgDsgk4eLfR,657891.0,Turkish Rock,turkish psych,"arabesk, anatolian rock",solo,,İstanbul
Hande Ünsal,Hande Ünsal,6YapGsI8u59kfewJjjJ2LJ,652077.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,,İstanbul
Deniz Seki,Deniz Seki,28bHkFlKKHHudmgvnfYpiJ,651666.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,kadın,Istanbul
Aydilge,Aydilge,0cjA9XY1jx3RlniZbMkCWy,647790.0,Turkish Rock,turkish singer-songwriter,turkish pop,,,
Berkay,Berkay,5juVQV1lGuA4o5IrLwpZar,628991.0,Turkish Pop,turkish pop,"turkish pop, arabesk, t-pop",solo,erkek,Ankara
Kubilay Karça,Kubilay Karça,2pbct1ni3yLLAfzrSXQDrH,621680.0,Turkish Pop,turkish trap pop,"turkish hip hop, arabesk, turkish pop",solo,,Eskişehir
Halodayı,Halodayı,1oR56GSDAFgtdKmSl6qU1r,612243.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop, oyun havasi",solo,,Şanlıurfa
Ceylan Ertem,Ceylan Ertem,2crPPfVdmrxn5yUHLQVqOI,611016.0,Turkish Rock,turkish singer-songwriter,"turkish pop, arabesk",solo,kadın,İstanbul
Burcu Güneş,Burcu Güneş,7EJB9F3fv0x2ezht730D7F,604630.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,kadın,Izmir
İdo Tatlıses,İdo Tatlıses,2OWh9iyVeIqJm04kwcaArP,585719.0,Turkish Pop,turkish pop,turkish pop,solo,,İstanbul
Atiye,Atiye,56g1u3Bu0S5072aksxyBei,583917.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,kadın,İstanbul
Sansar Salvo,Sansar Salvo,6hxb4rGrYXtrAZbUK7uzt9,580016.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul
Ozbi,Ozbi,4DG2pTwQBor7a6wtoEABau,569352.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop",solo,erkek,İstanbul
Mavi,Mavi,3BVPc9s4JXzM6O1InlLxED,560130.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,solo,,İstanbul
Stabil,Stabil,3XjAYzwW3zGIi0OetnEIvU,558229.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,Aydın
İntizar,İntizar,3mv52kRne0G5Las6jClwj0,557035.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi, turkish pop",solo,kadın,Tunceli
Zülfü Livaneli,Zülfü Livaneli,3ZV2kReDeCXgw0RJaPV5wX,556444.0,Turkish Folk,rumeli turkuleri,"anatolian rock, arabesk, turkish pop",solo,,Ilgın
Gökhan Özen,Gökhan Özen,3QLMLmISoZnFxUdzSoT6JB,553348.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,Ankara
Deniz Tekin,Deniz Tekin,4TdvNk4wmn5DgBFiLDeCj0,551919.0,Turkish Rock,turkish alt pop,,solo,kadın,İstanbul
Wegh,Wegh,747jtvVsxwzOLCJeOOz3oT,547633.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,,,
Halil Sezai,Halil Sezai,0Aoou2kIWXrzTOfhFzmNqa,546128.0,Turkish Pop,turkish pop,"arabesk, turkish pop",solo,,İstanbul
Sakiler,Sakiler,25gzpFRLdteuie1gW4a4hK,538221.0,Turkish Pop,turkish pop,"turkish pop, arabesk",,,
Sinan Akçıl,Sinan Akçıl,31czVneIywpUwJTNOVviJx,537966.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul
Şam,Şam,1GyfNm3xj64IZR4rKnzNti,534529.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,Istanbul
Pilli Bebek,Pilli Bebek,63RFns47gk00mnHIQ8zTR1,528406.0,Turkish Rock,turkish rock,anatolian rock,grup,grup,Ankara
Ersay Üner,Ersay Üner,6kf7koRM31Dgsj2WbByZpB,528116.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul
Bilal Hancı,Bilal Hancı,2wswrLV1o19frClh3pHxws,524744.0,Turkish Pop,karadeniz pop,"karadeniz folk, turkish pop",solo,erkek,Trabzon
Cem Belevi,Cem Belevi,5yhN4qXpv9cghmJglovvmg,521318.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İzmir
Mahsun Kırmızıgül,Mahsun Kırmızıgül,6MQG9Qgu1mfyG5AdqGWcnU,515520.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish pop, oyun havasi",solo,erkek,Hani
Bağzıları,Bağzıları,2WEI5FlFf3Zc5rOKTTLOJe,508277.0,Turkish Rock,turkish alternative rock,,grup,grup,İstanbul
Ozan Doğulu,Ozan Doğulu,6xLv41SHPrVVfvyGd1M7ut,504416.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul
Doğu Swag,Doğu Swag,0uHvlWnhRpaomF4e9IZHLy,501939.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish pop, turkish hip hop, arabesk",,,
Muazzez Ersoy,Muazzez Ersoy,2tgJQAu3rn7N2Tvee9yPZy,501118.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi",solo,kadın,Istanbul
Emrah Karaduman,Emrah Karaduman,7FvMAbdiffitFmbuJN3Vsk,500192.0,Turkish Electronic,turkish deep house,"turkish pop, t-pop",solo,erkek,Samsun
DEHA INC.,DEHA INC.,2qW4eDZVrF6mlcuaTBEMjh,496915.0,Turkish Hip Hop & Trap,turkce trap metal,turkish hip hop,,,
Irmak Arıcı,Irmak Arıcı,3WKZeiNOV5dnANlQnjL95B,486818.0,Turkish Pop,turkish pop,turkish pop,solo,,Çankırı
Grup Yorum,Grup Yorum,4FjxqqOXKI1eGLrYn3GUq4,485500.0,Turkish Folk,karadeniz turkuleri,"karadeniz folk, anatolian rock, arabesk",solo,,Istanbul
Özgün,Özgün,2DJNQjrMqbyGFax9mgHm3f,482816.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,Eskişehir
Evdeki Saat,Evdeki Saat,0w92tV1EQp7sxly7UjGR4P,480508.0,Turkish Rock,turkish alt pop,turkish pop,,,
Sura İskenderli,Sura İskenderli,1B0fCkXH620aujSMm3wIKS,479366.0,Turkish Pop,turkish trap pop,"turkish pop, arabesk",,,
Keskin,Keskin,76gCQtIoyzxs0HDKIyQC66,476600.0,Turkish Hip Hop & Trap,turkce drill,turkish hip hop,grup,grup,Osmaniye
Çağatay Akman,Çağatay Akman,6XJtmq30U5RDBwnLbcN33E,475977.0,Turkish Pop,turkish pop,turkish pop,,,
Sıla Şahin,Sıla Şahin,7p71hjdN4GlGgIsmCQIvuC,474922.0,Turkish Pop,turkish trap pop,"turkish pop, arabesk",,,
Yeni Türkü,Yeni Türkü,5Oo6D3FLRpWjgBn0mqfiA3,473663.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",grup,grup,Istanbul
Sufle,Sufle,1hWfWJvstJQPgjZ2vDFY0P,473658.0,Turkish Rock,turkish alt pop,turkish pop,grup,grup,Ankara
Ero,Ero,1MeqFJRoXLAjOdqXlJaPwQ,473532.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, drill",,,
Aynur Aydın,Aynur Aydın,27TH57uXZezzxdlmbbyWQU,468354.0,Turkish Pop,turkish pop,"turkish pop, t-pop",,kadın,Münih
Kolera,Kolera,2WrrDGOjPL1QFuLB45DZ7Q,467811.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish hip hop,solo,kadın,İstanbul
Harun Kolçak,Harun Kolçak,65DHllTFchsixkxABusOcR,463043.0,Turkish Rock,turkish singer-songwriter,turkish pop,solo,erkek,İstanbul
Kargo,Kargo,3eedpDhV8pocvTvTHLGq9R,463032.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",grup,grup,İstanbul
Allame,Allame,25FdziPY37yQIRXSk7ZUmS,462221.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,erkek,Eskişehir
Nurettin Rençber,Nurettin Rençber,0eZircNzjxnRUtRBVOsth2,461242.0,Turkish Folk,turkish folk,"arabesk, karadeniz folk",solo,,Mersin
Mazhar Alanson,Mazhar Alanson,1CTvStsvYcGi6FfDHzNg0t,460338.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",solo,erkek,Sarıyer
Cengiz Özkan,Cengiz Özkan,3gmRDeSq9EIPP6pFSLi3FT,451878.0,Turkish Folk,turkish folk,"arabesk, karadeniz folk",solo,,Divriği
Lil Zey,Lil Zey,7Gx2wDVHyW5HJh7dc2t5h7,448468.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish hip hop,solo,kadın,İzmir
Karsu,Karsu,0rRu3Co1oQ6Ce3yz7btJzB,445718.0,Turkish Rock,turkish alt pop,turkish pop,,,
Toygar Işıklı,Toygar Işıklı,2l0Ol9ASKE7E196nHpblB7,445043.0,Turkish Jazz & Instrumental,turkish soundtrack,,solo,erkek,Gölcük
Aşık Veysel,Aşık Veysel,7rVsiFwBEEmTNoStle68F3,444275.0,Turkish Folk,baglama,"arabesk, anatolian rock",solo,erkek,Şarkışla
Uygar Doğanay,Uygar Doğanay,24hR7ZaxdlZLaTnzZOlwMh,444213.0,Turkish Sanat & Klasik,arabesk,arabesk,,,
Tankurt Manas,Tankurt Manas,4ESPwgMOkNWv8mZIfe2mdO,443327.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul
Massaka,Massaka,4Fn5clYETVpCxnIcFSZhr9,442713.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,,,
Yavuz Bingöl,Yavuz Bingöl,5sIeEgQpcW963L4HMDPgpZ,439863.0,Turkish Folk,turkish folk,"arabesk, karadeniz folk",solo,erkek,İstanbul
Güliz Ayla,Güliz Ayla,7yiJcbeab3PFoFhxtNDujs,439700.0,Turkish Pop,turkish pop,turkish pop,solo,kadın,Samsun
Zerrin Özer,Zerrin Özer,2CleFSxMoxkm2RduyMwcrm,432149.0,Turkish Pop,turkish pop,"arabesk, turkish pop",solo,kadın,Ankara
Resul Dindar,Resul Dindar,7fVMq1kHVAQao9iPGHNGyK,431045.0,Turkish Folk,karadeniz turkuleri,"karadeniz folk, oyun havasi, arabesk",solo,erkek,Hopa
Kayra,Kayra,5UqZ7BXoccyvTHyXLk1Pk3,430071.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,Karabük
Fikret Kızılok,Fikret Kızılok,6RXvZtTyld421VPmJtLqkL,428293.0,Turkish Rock,anadolu rock,"anatolian rock, turkish pop, arabesk",solo,,İstanbul
Aysel Yakupoğlu,Aysel Yakupoğlu,2ZXIEujgkSOHFk47ra8Z1m,422432.0,Turkish Folk,karadeniz turkuleri,"karadeniz folk, arabesk, turkish pop",,,
Aydın Kurtoğlu,Aydın Kurtoğlu,7ymCV8co6nSwmYFEyGmVvJ,421678.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,Rize
Batuhan Kordel,Batuhan Kordel,53GzfAvawfKb966INeFp18,419963.0,Turkish Rock,turkish singer-songwriter,,,,
Defkhan,Defkhan,5piE2MZ1wGpBjpDud8kTOS,415581.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,erkek,Amsterdam
Kıvırcık Ali,Kıvırcık Ali,5nObFnlOBawrX748LB4ioF,413495.0,Turkish Folk,turkish folk,arabesk,solo,,Tokat
Çağan Şengül,Çağan Şengül,3W0gwNZqdtkleuMYlKElaw,412445.0,Turkish Pop,turkce slow sarkilar,turkish pop,solo,,İstanbul
Aspova,Aspova,2sjnyyL9NXijL3Fr2eLikf,412410.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,Ankara
Serhat Durmus,Serhat Durmus,1R2iRWvuwwokMKGHirNGTD,411512.0,,arab trap,,solo,,Izmir
Bedo,Bedo,7xD3PtnXEsJeqsPtJ3N3si,410995.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop",solo,,Ankara
Kendimden Hallice,Kendimden Hallice,7sAmHLY4Fs2rweYwdcQtft,407053.0,Turkish Pop,turkce slow sarkilar,,grup,grup,Ankara
Zara,Zara,1B4KdcJA6Dh1MlAiezqc08,406587.0,Turkish Folk,turkish folk,"arabesk, oyun havasi, karadeniz folk, turkish pop",,,
Levent Yüksel,Levent Yüksel,3OVWvBHwlq5w8iRJEBoCp2,403647.0,Turkish Pop,turkish pop,"turkish pop, anatolian rock",solo,erkek,Antalya
Kayahan,Kayahan,71wTGSTWEPSLnfe7tA2wkX,401423.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,erkek,İzmir
Ekin Uzunlar,Ekin Uzunlar,35ngoeYRyOveM0rPvahkot,400525.0,Turkish Pop,karadeniz pop,"karadeniz folk, turkish pop, arabesk",,,
Altin Gün,Altin Gün,37PL04N8kBWWW69jdrMMWT,399872.0,Turkish Rock,turkish psych,"anatolian rock, psychedelic rock, neo-psychedelic",grup,grup,İstanbul
Kaan Tangöze,Kaan Tangöze,29TtKR0RUKu66QjYwtycd9,397808.0,Turkish Rock,turkish singer-songwriter,anatolian rock,solo,erkek,İstanbul
Anıl Emre Daldal,Anıl Emre Daldal,5MHG3bmjGh0aqT8hS3nPzS,397651.0,Turkish Rock,turkish alternative rock,,solo,erkek,Amasya
Evgeny Grinko,Evgeny Grinko,69RwhKw37lY73bMGaSts7C,397513.0,Turkish Jazz & Instrumental,turkish instrumental,,,,
Emre Altuğ,Emre Altuğ,6CtMmrX12kYA3O4kINuWjZ,396144.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul
Ahmet Aslan,Ahmet Aslan,7nx9ts8pRmbvMQvnPwqDSS,394387.0,Turkish Folk,turkish folk,"arabesk, karadeniz folk",solo,,Köln
Redd,Redd,3uW8VB9ixiNMAJBm7ZsBVT,393836.0,Turkish Rock,turkish rock,anatolian rock,,,
Can Kazaz,Can Kazaz,4YLcK0MEyqFkdyyzbPTWrs,393433.0,Turkish Rock,turkish alt pop,turkish pop,solo,,İstanbul
Birileri,Birileri,1JSlQod7y9LeC8hWvQqQtR,387320.0,Turkish Rock,turkish alt pop,,grup,grup,Istanbul
Şevval Sam,Şevval Sam,5zkh6MICzIQIUoA9NfZpBx,379631.0,Turkish Folk,karadeniz turkuleri,"karadeniz folk, arabesk",solo,kadın,İstanbul
Murat Göğebakan,Murat Göğebakan,2TUYtKan3NuDy9JexzL4db,377202.0,Turkish Rock,anadolu rock,"arabesk, anatolian rock",solo,,Adana
Bahadır Tatlıöz,Bahadır Tatlıöz,2cJHtXWQuFgxQ0GkpE7dNR,374390.0,Turkish Pop,turkish pop,"turkish pop, karadeniz folk",,,
Rota,Rota,4m53kPdPFJpnF0qcJqfwNB,370013.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul
Ceylan,Ceylan,396gqBt8a2NN7gXtDWF7AJ,369111.0,Turkish Sanat & Klasik,arabesk,"oyun havasi, arabesk, turkish pop",solo,kadın,Samsun
Veysel Mutlu,Veysel Mutlu,4zvfUbCpoR8fWGg0kysc4u,367023.0,Turkish Pop,turkish pop,"turkish pop, turkish hip hop",,erkek,
İkilem,İkilem,4hjJDrv2KkIEW1AslTEtv3,366296.0,Turkish Rock,turkish alt pop,turkish pop,,,
Nilipek.,Nilipek.,1tgfi3YYoeXKehnjKaMsOo,364977.0,Turkish Rock,turkish singer-songwriter,turkish pop,solo,kadın,İstanbul
Fettah Can,Fettah Can,17fJCykpa2EqIioh0zamN9,364580.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,Karacabey
Özcan Deniz,Özcan Deniz,4VU1nemTk5QFsrclcN8VFl,364003.0,Turkish Pop,turkish pop,"arabesk, turkish pop",solo,erkek,Ankara
İzel,İzel,0QSrUuv6y5Woazd3LAjbSH,363570.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,kadın,Yalova
TNK,TNK,4EJYpvhyY4gO4rjEeitXLa,362532.0,Turkish Rock,turkish rock,anatolian rock,grup,grup,Ankara
Murda,Murda,09WqkYnqWKUQAYSlEvaf6s,356976.0,Turkish Hip Hop & Trap,turkce drill,turkish hip hop,,,
Badem,Badem,27sJOP3QjNbw349IrcROwj,353091.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",grup,grup,Ankara
Xir,Xir,1eQzZsJAtBVhN9WP62oXM2,349754.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,İstanbul
Büyük Ev Ablukada,Büyük Ev Ablukada,7pUjWNH0hKYpRzWDdNLzAi,349634.0,Turkish Rock,turkish alternative rock,,grup,grup,İstanbul
Mehmet Elmas,Mehmet Elmas,10BA29Asr9YbvkcBFJixDb,349129.0,Turkish Pop,turkish pop,"turkish pop, arabesk, turkish hip hop",,,
Cansever,Cansever,4i6eVyyyPdSryQCzO7GK0K,348470.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi",solo,,
Ezginin Günlügü,Ezginin Günlügü,6WDnC2nx6hEPdtcU2LLGtE,345476.0,,classic azeri pop,"turkish pop, anatolian rock",grup,grup,İstanbul
Istanbul Trip,Istanbul Trip,495LDNjDrYzj7Fk0LtuJcJ,344889.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,,,
Özlem Tekin,Özlem Tekin,1Xwze1G0zfRnxqBDfmWVVf,343045.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop, karadeniz folk",solo,kadın,Bodrum
Linet,Linet,31TJIzpuFOgX8owcV3nTrE,336840.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish pop",,,
Tekir,Tekir,2SqjgMx7edUilMzPosMR1P,335302.0,Turkish Pop,turkish trap pop,"turkish pop, oyun havasi, arabesk",,,
Deeperise,Deeperise,0ZRQKFaYGEtbLc8NbyICoe,335100.0,Turkish Electronic,turkish deep house,turkish pop,solo,,Muğla
Bulutsuzluk Özlemi,Bulutsuzluk Özlemi,1x59izw7Q1MpfZyzJpTfb4,330166.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",grup,grup,İstanbul
Çelik,Çelik,1OLLBdj6zsFJ2GUMpk8trl,323490.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul
Işın Karaca,Işın Karaca,0iKWCp8QXDXAD3wzFrExYr,320226.0,Turkish Pop,turkish pop,"turkish pop, arabesk",,,
Ayaz Erdoğan,Ayaz Erdoğan,2Y2hYlVGlZpTHAQ9UMaBCA,319945.0,Turkish Pop,turkish trap pop,"turkish hip hop, turkish pop",solo,,İstanbul
Yonca Lodi,Yonca Lodi,1aP2MaewItELfTZkp9t8mF,318901.0,Turkish Pop,turkish pop,turkish pop,solo,kadın,İstanbul
Ogün Sanlısoy,Ogün Sanlısoy,6pLClLDuEeB6KdfvPblHSq,317928.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",solo,erkek,Gölcük
Mirkelam,Mirkelam,7o8wIiSHxNMlXrtR1OWPH0,316531.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul
Zeynep Dizdar,Zeynep Dizdar,1XZNZT3xecy9Wt5LtMOJVk,315479.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,,İstanbul
kefo,kefo,0Z3JwMejHZc82MMubb3iPE,315312.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,,,
Ayşegül Aldinç,Ayşegül Aldinç,1pHd2SEhBRbA7RmMlaxT6v,314981.0,Turkish Jazz & Instrumental,turkish modern jazz,turkish pop,solo,kadın,İstanbul
Ferdi Özbeğen,Ferdi Özbeğen,2bZXmEbQuj9XcGwgyIGuit,313518.0,,uyghur pop,"arabesk, anatolian rock, turkish pop",solo,,İzmir
Sokrat St,Sokrat St,7ouCgJkxRBIJljUiQVJK65,311607.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,erkek,İstanbul
Erol Evgin,Erol Evgin,6zzBsqAEDo53s2dSeZzWvo,307639.0,Turkish Pop,classic turkish pop,"turkish pop, anatolian rock, arabesk",solo,erkek,İstanbul
Tepki,Tepki,5DtQ3MpxpzAyDvgMNFWN1r,307378.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,,,
Leman Sam,Leman Sam,4Y8MfXiMkqE7xnMWqCAn7E,303056.0,Turkish Folk,turkish folk,"turkish pop, arabesk",solo,kadın,İstanbul
Neşe Karaböcek,Neşe Karaböcek,2LyOwgMY8RSQU5iK9rHj0B,302730.0,Turkish Rock,turkish psych,"arabesk, anatolian rock, turkish pop",solo,kadın,Yeşilköy
Eko Fresh,Eko Fresh,7GaMopkesD4KK9dNbgyO5D,301142.0,,cologne hip hop,"german hip hop, turkish hip hop",,,
Canfeza,Canfeza,0NkjVHxmDMo5QCHdou6jUt,297669.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, arabesk",solo,,Bursa
Killa Hakan,Killa Hakan,7HLErdUiPhh7mg5AxVEAX0,295972.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,,erkek,Berlin
Gökhan Tepe,Gökhan Tepe,6C2dcLMiM7ReleaXaiHsw5,291776.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,erkek,Istanbul
Müzeyyen Senar,Müzeyyen Senar,7qMU11EGOWoOFrHlrHpbLd,288170.0,Turkish Sanat & Klasik,turk sanat muzigi,"arabesk, anatolian rock",solo,kadın,Gököz
Jehan Barbur,Jehan Barbur,6PNzOVat5l7NQQC4lqY2Fo,287952.0,Turkish Rock,turkish singer-songwriter,"turkish pop, karadeniz folk",solo,kadın,İstanbul
Sinan Özen,Sinan Özen,7tEE59VhmyLsNINjKCA8ug,285378.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi, turkish pop, karadeniz folk",,erkek,Rize
Betül Demir,Betül Demir,6aMuEI7xrBQvb2z0lXWwCR,283130.0,Turkish Pop,turkish pop,turkish pop,solo,kadın,İstanbul
Gece,Gece,6rGDR3wmkz5DKMrZxpO1mZ,282388.0,Turkish Rock,turkish rock,anatolian rock,solo,,Ankara
Eda Baba,Eda Baba,0sG2HOcaA6eqnGTeLMJpRm,280454.0,Turkish Rock,turkish alt pop,turkish pop,solo,,İstanbul
Bülent Ersoy,Bülent Ersoy,4ZXSO4o28gKUfDbnrwtPmd,280086.0,Turkish Sanat & Klasik,arabesk,"arabesk, turkish pop",solo,trans kadın,Istanbul
Ankaralı Namık,Ankaralı Namık,7esfmVT7dmJnsm1byX2m8e,277907.0,,,"oyun havasi, arabesk",solo,,Kurşunlu
yirmi7,yirmi7,1vnJ4IgK3BOqkGQ38RqAvs,277477.0,Turkish Rock,turkish rock,"turkish pop, anatolian rock",,,
Düş Sokağı Sakinleri,Düş Sokağı Sakinleri,2QsEbhCFyEzogaOtMYeXO4,276914.0,Turkish Rock,turkish rock,"anatolian rock, turkish pop",grup,grup,İstanbul
KADR,KADR,5IbdRuOxSxGes8BU3lKmBx,276612.0,Turkish Pop,turkish trap pop,"turkish pop, turkish hip hop",,,
Ali Kınık,Ali Kınık,0J7kxhnyiFpd0NArVYvexR,274711.0,Tematik & Ozel,ulkucu sarkilar,arabesk,,,
She Past Away,She Past Away,6paE8ghTau4qwwNzVRSgjR,273743.0,Turkish Rock,turkish post-punk,"darkwave, cold wave, post-punk, gothic rock, deathrock, ebm",grup,grup,Athens
Melis Kar,Melis Kar,4hdeFgoe7zQEJWXVIAm2yj,271061.0,Turkish Pop,turkish pop,turkish pop,,,
Erdal Erzincan,Erdal Erzincan,0K1A8j2BAJOGSQ39DZQeoR,270283.0,Turkish Folk,turkish folk,arabesk,solo,,Aşkale
Sezer Sarıgöz,Sezer Sarıgöz,4itYEciRGKzdy6XwBQeaYl,268750.0,Turkish Pop,turkish pop,"turkish pop, arabesk",,,
Hepsi,Hepsi,1kOoLMi8Z7nDeIa0bSfM3N,268340.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,,
Rober Hatemo,Rober Hatemo,3aYxHPDvu8SETLVJBEUqld,268073.0,Turkish Pop,turkish pop,"turkish pop, arabesk, oyun havasi",solo,,İstanbul
Lia Shine,Lia Shine,5G3OUmDl3R4rEn9zSWZTpw,267353.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul
Sedef Sebüktekin,Sedef Sebüktekin,1dvuibBCx9TnbCKIdOEF4l,264952.0,Turkish Rock,turkish alt pop,,solo,kadın,İstanbul
Onur Akın,Onur Akın,4CQctd09SRWjRoo3G7QBZf,264863.0,Turkish Folk,turkish folk,"arabesk, karadeniz folk",solo,,Ahlat
Bendeniz,Bendeniz,39b2aS3568sYAC6CG5hsJw,264440.0,Turkish Pop,turkish pop,"turkish pop, arabesk",,kadın,Zürih
Rei 6,Rei 6,2hiKZUSxd7c4Ab57KAQ3SW,264426.0,Turkish Rock,turkish alt pop,,,,
Suavi,Suavi,4SRE7uXKuUQRwAcl69iIMo,263135.0,Turkish Folk,turkish folk,"anatolian rock, arabesk, karadeniz folk",solo,,Kırıkkale
Kardes Türküler,Kardes Türküler,3MbsT2QoYOphVRqqMPQksZ,261550.0,Turkish Folk,turkish folk,"karadeniz folk, oyun havasi",solo,,İstanbul
Saian,Saian,6ybd4tPF7McLj3BNhZavQi,259635.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,Mersin
Can Yüce,Can Yüce,3vGz6dcagQ2geGkGYY185H,259510.0,Turkish Pop,turkish pop,turkish pop,,,
