isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir
Bozukçalar,Bozukçalar,27UnVk35f1D6SLcbvt1DEt,4102.0,Turkish Rock,turkish alternative rock,,,,
Derya,Derya,5it9qIu8CTdgxoQFVy3bZW,4101.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish hip hop,,,
Şirin Soysal,Şirin Soysal,0cQSDs28d2xyeYFEjrk5X9,4098.0,Turkish Jazz & Instrumental,turkish modern jazz,,,,
Emre Akbay,Emre Akbay,2uRkUVohqQRUDARipt4mE0,4096.0,Turkish Rock,turkish singer-songwriter,,,,
Genco Arı,Genco Arı,58PCTeH2HDJNLkLwAwEeMu,4081.0,Turkish Jazz & Instrumental,turkish jazz,,,,
İlyas Öztürk,İlyas Öztürk,04Cbp9OEAP13eI5zJAZ6GM,4075.0,Tematik & Ozel,ulkucu sarkilar,,,,
Ihsan Özgen,Ihsan Özgen,41JqJkjqMDOAwE6YwTmgIM,4068.0,Turkish Sanat & Klasik,turkish classical,sufi,,,
Banu Kanıbelli,Banu Kanıbelli,5axYOS6xHpw1SU6jp2Vlq7,4061.0,Tematik & Ozel,cocuk sarkilari,children’s music,,,
Pi,Pi,2pVFirbKbzqHUjJx79L6Y9,4051.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish hip hop,,,
Esra Balamir,Esra Balamir,5lkf1rQ8Va1Z7AHuZICg38,4043.0,Turkish Pop,deep turkish pop,turkish pop,,,
Mehmet Borukcu,Mehmet Borukcu,2HsgdiajiXyC5FnUueUKR9,4041.0,Tematik & Ozel,ulkucu sarkilar,,,,
9 Canlı,9 Canlı,7yUbh3chDbtC5mvpkWSqy0,4036.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish pop, turkish hip hop",,,
Fate Fat,Fate Fat,4m08Ox8fE1ZD8zQzkhw6YL,4034.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,Adana
Mircan Kaya,Mircan Kaya,21Bj5H9sSwheqVpDCKY31y,4032.0,Tematik & Ozel,cocuk sarkilari,,solo,,
Borusan Istanbul Philharmonic Orchestra,Borusan Istanbul Philharmonic Orchestra,422GGz72U4bDEyZefiuXsC,4022.0,Turkish Sanat & Klasik,turkish classical performance,classical,,,
100 Derece,100 Derece,4OM5r50uH0v7Radtsp4JIq,4022.0,Turkish Rock,turkish alternative,punk,,,
Bugra Atmaca,Bugra Atmaca,7jKUdhVs6dJS5bvaKIhh23,4020.0,Turkish Electronic,turkish edm,,,,
Genco Ecer,Genco Ecer,0zaU3oap9Jq2T5k3FZ4s5c,4017.0,Turkish Pop,deep turkish pop,"turkish pop, turkish hip hop",solo,,Ankara
Sadık Karan,Sadık Karan,3G2US1FjxCBhVXCrvCRKbs,4012.0,Turkish Pop,deep turkish pop,turkish pop,solo,,İzmir
Hay Bin Kunduz,Hay Bin Kunduz,1KLxD2eJsZCDCZyaDDOIVb,3999.0,Turkish Rock,turkish singer-songwriter,,grup,grup,İstanbul
Ozgun,Ozgun,0cKY4wsPOI6B3ILdDWnwmx,3992.0,,deep big room,"big room, acid techno",,,
Yusuf Dinç,Yusuf Dinç,0elfcuCAnfExbu2NwzmBOJ,3988.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,,,
ARRAZANE,ARRAZANE,1wTAz4iv9rm4g5iNKWlD6t,3987.0,Turkish Hip Hop & Trap,turkce trap metal,trap metal,,,
Cihan Cengiz,Cihan Cengiz,0ywGnVqyBF3L8uRKGNhvjh,3987.0,Turkish Folk,baglama,gnawa,,,
Batuhan Polat,Batuhan Polat,6SZpPDwlBPtvx9TDoBgwH8,3984.0,Turkish Rock,turkish alt pop,,solo,,İstanbul
Nemrud,Nemrud,5IUAwYRYCVxKtAbdHcgnD1,3982.0,Turkish Metal & Hardcore,turkish metal,"progressive rock, space rock, progressive metal",grup,grup,İstanbul
Sunset Stream,Sunset Stream,3oTmtp17D0pTijqdXKj8Tf,3980.0,Turkish Rock,turkish post-punk,,grup,grup,İstanbul
Tuğçe Şan,Tuğçe Şan,0DRSNzjx3l7wS11L3vaqFG,3978.0,Turkish Pop,deep turkish pop,turkish pop,,,
Su El Roman,Su El Roman,6Kvx121MepdDM6XxgxPvij,3972.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish pop,,,
