isim,dogum_yeri,aktif_sehir,arama_sehri,tip,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Burcu Güven,"İstanbul, İstanbul, Turkey",,İstanbul,solo,6fviEnbwvkFIBpOBb8hSsm,Burcu Güven,2868.0,33.0,arabesk,,,
Rektal Tuşe,"Ankara, Ankara, Turkey",,Ankara,grup,2oeDJjqjuw7xH8lnqLvdYS,Rektal Tuşe,2858.0,6.0,grindcore,grindcore,,turkish metal
Abdurrahman Tarikçi,"Yozgat, Yozgat, Turkey",,Yozgat,solo,01gTMxCct1szeaNRF4IHb5,Abdurrahman Tarikçi,2857.0,10.0,,,,
Razor Inc.,"İstanbul, İstanbul, Turkey",,İstanbul,grup,0pECwbJ6wspcIPq7zIcZOF,Razor Inc.,2849.0,10.0,,,,turkish metal
virane,,,,,7CuwGnWaZrdJ52UM4Evu2R,Virane,2844.0,28.0,,,,
bodes,"Ankara, Ankara, Turkey",,Ankara,grup,6TfzPXVRRzCJq0euMymU3I,bodes,2844.0,19.0,,,,
ZONA,,"Istanbul, Istanbul, Turkey",İstanbul,solo,1xs5Kw6Ix0C5l6ZjlyfNez,Zona,2843.0,26.0,,,,
Fatih Yaşar,"Pazar, Rize, Turkey",,Rize,solo,6DTmIpiOZCEdynqwSPq2i6,Fatih Yaşar,2833.0,16.0,karadeniz folk,,,
Ulaş Özdemir,"Kahramanmaraş, Kahramanmaraş, Turkey","İstanbul, İstanbul, Turkey",İstanbul,solo,5gkaRWS2qDK3x7Wu3CdDhv,Ulas Özdemir,2825.0,7.0,traditional music,traditional music,,
The Exile,"İstanbul, İstanbul, Turkey",,İstanbul,grup,3NH0XtR6ZO8JJRVn31Mj3R,The Exile,2815.0,12.0,thai rock,,,
nurhan damcıoğlu,,,,,771VjzTUZjO5uV9Qe2yiRH,nurhan damcıoğlu,2814.0,21.0,"oyun havasi, turkish pop, anatolian rock","oyun havasi, turkish pop, anatolian rock",,
alya,,,,,44KujdHA0ZaOgGzyaAdXmu,Alya,2808.0,32.0,,"post-punk, cold wave, darkwave",,
Burçin Büke,"İzmir, İzmir, Turkey",,İzmir,solo,5ShjOsGQ6HApfiaC9xKeJj,Burçin Büke,2800.0,24.0,,,,turkish jazz
santigrat,,,,,31LIqOSKOyjdbPiWjsvQk1,Santigrat,2800.0,5.0,,,,
BAO,"İzmir, İzmir, Turkey",,İzmir,solo,2A8LFuPVMXU66LuCPtgOEo,BAO,2794.0,33.0,turkish hip hop,,,
İsmail Hacıoğlu,"İstanbul, Turkey",,İstanbul,solo,00CAQEtf5CRYRta6MgNDhb,İsmail Hacıoğlu,2791.0,20.0,anatolian rock,,,
Rezan Jamal,"Mardin, Mardin, Turkey","Borlänge, Dalarnas län, Sweden",Mardin,solo,3QNoVVvGpLPQPBWcsoPRoz,Rezan Jamal,2789.0,3.0,,,,
yzkn,,,,,7mU3kpBBx4OCYdNJhjcKxy,YZKN,2787.0,19.0,edm trap,edm trap,,
naskas,,,,,4bd7oWT6SKinvq07nfMJwB,naskas,2781.0,20.0,turkish hip hop,turkish hip hop,,turkish trap
Ohol Yeg,,"Ankara, Ankara, Turkey",Ankara,solo,0CBEPcJ3JfaQkGVfL1ltmt,Ohol Yeg,2781.0,3.0,black metal,black metal,,turkish metal
Hayalet,"Edirne, Edirne, Turkey",,Edirne,solo,5viTMDXkDdZwImXIeLpUnl,Hayalet,2779.0,13.0,turkish hip hop,,,
Özlem Özel,,"İstanbul, İstanbul, Turkey",İstanbul,solo,6S2jvPtPKIifasCiK9fX8y,Özlem Özel,2773.0,14.0,arabesk,,,
Bay B Kane,"İstanbul, İstanbul, Turkey","London, Greater London, United Kingdom",İstanbul,solo,2bmPucDtmNJQiRlyn7nQqM,Bay B Kane,2766.0,10.0,"jungle, breakbeat, hardcore techno, drum and bass",,,
semra san,,,,,35KdngKPeWQt73Nnd3P3LP,Semra San,2759.0,11.0,turkish pop,turkish pop,,deep turkish pop
Suitcase,"İstanbul, İstanbul, Turkey",,İstanbul,grup,2DSvDmwywJy6pMQMdeHGL1,Suitcase,2758.0,17.0,,,,
6.cadde,,,,,474vCyU4vJtglMQYD7Nffb,6.Cadde,2757.0,23.0,turkish pop,turkish pop,,turkish rock
alaturca club,,,,,0fwNI3rKjhHtiDqngqNI3X,Alaturca Club,2753.0,22.0,turkish pop,turkish pop,,
yılmaz morgül,,,,,2ooGZ0Y7LLS6G2LJoqFGlc,yılmaz morgül,2753.0,16.0,arabesk,arabesk,,
nurcan opel,,,,,4mmBsjNX9N8g69rNBjckT8,Nurcan Opel,2744.0,10.0,"arabesk, oyun havasi","arabesk, oyun havasi",,
çıtır kızlar,,,,,24fAP2v2tiaXObqmnf4G2T,Çıtır Kızlar,2743.0,28.0,turkish pop,turkish pop,"rap, pop",
Ahmet Kenan Bilgiç,"Rize, Rize, Turkey","İstanbul, İstanbul, Turkey",İstanbul,solo,6p2Yj8GMcYUZl9OzLzd92S,Ahmet Kenan Bilgiç,2741.0,15.0,,,,
Disorder,"Ankara, Ankara, Turkey",,Ankara,grup,50PwQb4wXqYTaiyTVGbdzl,Disorder,2740.0,20.0,black metal,,,
merdiven,,,,,4BowcvNyXtXWPryBpwNdM1,merdiven,2735.0,20.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",metal,
møndberg,,,,,7i9PhtRTxJnGvgoOXgTox2,møndberg,2734.0,43.0,"lo-fi hip hop, lo-fi","lo-fi hip hop, lo-fi",,
